Total_Frames,P1_Combo_Meter_Value,P2_Combo_Meter_Value,P1_Input_DEC,P2_Input_DEC,P1_Input_T3,P2_Input_T3
1069419,47,0,0,0, , 
1069420,47,0,0,0, , 
1069421,47,0,0,0, , 
1069422,47,0,0,0, , 
1069423,47,0,0,0, , 
1069424,47,0,0,0, , 
1069425,47,0,0,0, , 
1069426,47,0,0,0, , 
1069427,47,0,0,0, , 
1069428,47,0,0,0, , 
1069429,47,0,0,0, , 
1069430,47,0,0,0, , 
1069431,47,0,0,0, , 
1069432,47,0,0,0, , 
1069433,47,0,0,0, , 
1069434,47,0,0,0, , 
1069435,47,0,0,0, , 
1069436,47,0,0,0, , 
1069437,47,0,0,0, , 
1069438,47,0,0,0, , 
1069439,47,0,0,0, , 
1069440,47,0,0,0, , 
1069441,47,0,0,0, , 
1069442,47,0,0,0, , 
1069443,47,0,0,0, , 
1069444,47,0,0,0, , 
1069445,47,0,0,0, , 
1069446,47,0,0,0, , 
1069447,47,0,0,0, , 
1069448,47,0,0,0, , 
1069449,47,0,0,0, , 
1069450,47,0,0,0, , 
1069451,47,0,0,0, , 
1069452,47,0,0,0, , 
1069453,47,0,0,0, , 
1069454,47,0,0,0, , 
1069455,47,0,0,0, , 
1069456,47,0,0,0, , 
1069457,47,0,0,0, , 
1069458,47,0,0,0, , 
1069459,47,0,0,0, , 
1069460,47,0,0,0, , 
1069461,47,0,0,0, , 
1069462,47,0,0,0, , 
1069463,47,0,0,0, , 
1069464,47,0,0,0, , 
1069465,47,0,0,0, , 
1069466,47,0,0,0, , 
1069467,47,0,0,0, , 
1069468,47,0,0,0, , 
1069469,47,0,0,0, , 
1069470,47,0,0,0, , 
1069471,47,0,0,0, , 
1069472,47,0,0,0, , 
1069473,47,0,0,0, , 
1069474,47,0,0,0, , 
1069475,47,0,0,0, , 
1069476,47,0,0,0, , 
1069477,47,0,0,0, , 
1069478,47,0,0,0, , 
1069479,47,0,0,0, , 
1069480,47,0,0,0, , 
1069481,47,0,0,0, , 
1069482,47,0,0,0, , 
1069483,47,0,0,0, , 
1069484,47,0,0,0, , 
1069485,47,0,0,0, , 
1069486,47,0,0,0, , 
1069487,47,0,0,0, , 
1069488,47,0,0,0, , 
1069489,47,0,0,0, , 
1069490,47,0,0,0, , 
1069491,47,0,0,0, , 
1069492,47,0,0,0, , 
1069493,47,0,0,0, , 
1069494,47,0,0,0, , 
1069495,47,0,0,0, , 
1069496,47,0,0,0, , 
1069497,47,0,0,0, , 
1069498,47,0,0,0, , 
1069499,47,0,0,0, , 
1069500,47,0,0,0, , 
1069501,47,0,0,0, , 
1069502,47,0,0,0, , 
1069503,47,0,0,0, , 
1069504,47,0,0,0, , 
1069505,47,0,0,0, , 
1069506,47,0,0,0, , 
1069507,47,0,0,0, , 
1069508,47,0,0,0, , 
1069509,47,0,0,0, , 
1069510,47,0,0,0, , 
1069511,47,0,0,0, , 
1069512,47,0,0,0, , 
1069513,47,0,0,0, , 
1069514,47,0,0,0, , 
1069515,47,0,0,0, , 
1069516,47,0,0,0, , 
1069517,47,0,0,0, , 
1069518,47,0,0,0, , 
1069519,47,0,0,0, , 
1069520,47,0,0,0, , 
1069521,47,0,0,0, , 
1069522,47,0,0,0, , 
1069523,47,0,0,0, , 
1069524,47,0,0,0, , 
1069525,47,0,0,0, , 
1069526,47,0,0,0, , 
1069527,47,0,0,0, , 
1069528,47,0,0,0, , 
1069529,47,0,0,0, , 
1069530,47,0,0,0, , 
1069531,47,0,0,0, , 
1069532,47,0,0,0, , 
1069533,47,0,0,0, , 
1069534,47,0,0,0, , 
1069535,47,0,0,0, , 
1069536,47,0,0,0, , 
1069537,47,0,0,0, , 
1069538,47,0,0,0, , 
1069539,47,0,0,0, , 
1069540,0,0,0,0, , 
1069541,0,0,0,0, , 
1069542,0,0,0,0, , 
1069543,0,0,0,0, , 
1069544,0,0,0,0, , 
1069545,0,0,0,0, , 
1069546,0,0,0,0, , 
1069547,0,0,0,0, , 
1069548,0,0,0,0, , 
1069549,0,0,0,0, , 
1069550,0,0,0,0, , 
1069551,0,0,0,0, , 
1069552,0,0,0,0, , 
1069553,0,0,0,0, , 
1069554,0,0,0,0, , 
1069555,0,0,0,0, , 
1069556,0,0,0,0, , 
1069557,0,0,0,0, , 
1069558,0,0,0,0, , 
1069559,0,0,0,0, , 
1069560,0,0,0,0, , 
1069561,0,0,0,0, , 
1069562,0,0,0,0, , 
1069563,0,0,0,0, , 
1069564,0,0,0,0, , 
1069565,0,0,0,0, , 
1069566,0,0,0,0, , 
1069567,0,0,0,0, , 
1069568,0,0,0,0, , 
1069569,0,0,0,0, , 
1069570,0,0,0,0, , 
1069571,0,0,0,0, , 
1069572,0,0,0,0, , 
1069573,0,0,0,0, , 
1069574,0,0,0,0, , 
1069575,0,0,0,0, , 
1069576,0,0,0,0, , 
1069577,0,0,0,0, , 
1069578,0,0,0,0, , 
1069579,0,0,0,0, , 
1069580,0,0,0,0, , 
1069581,0,0,0,0, , 
1069582,0,0,0,0, , 
1069583,0,0,0,0, , 
1069584,0,0,0,0, , 
1069585,0,0,0,0, , 
1069586,0,0,0,0, , 
